,BA9_CT,BA9_AD,ROSMAP_CT,ROSMAP_hAD,SEAAD_lAD,SEAAD_hAD,SEAAD_DL_lAD,SEAAD_DL_hAD
RAB6B,0,1,0,0,0,0,0,0
ZBTB20,0,0,1,0,0,0,0,0
PABPN1,0,0,1,0,0,0,0,0
NDUFA1,0,0,0,0,0,0,1,1
NACA,0,0,0,0,1,1,1,1
RPL13,1,1,1,1,1,1,1,1
RPS16,0,0,0,0,0,0,0,1
DYNLRB1,1,1,1,1,1,0,1,0
CLU,1,1,1,1,1,1,1,1
DENND6A-AS1,0,0,0,0,0,0,0,1
ATXN7L3B,0,0,0,0,1,0,0,0
RPS8,0,0,0,0,1,1,1,1
SVIP,0,0,0,0,1,0,0,0
RPS18,0,0,0,0,1,0,1,1
GABARAP,0,0,0,0,1,0,1,1
HOOK2,0,0,0,0,0,0,0,1
RPL32,0,1,0,1,1,1,1,1
NAA38,0,0,0,0,0,0,0,1
SLITRK4,1,0,1,0,0,0,0,0
HSP90AB1,1,1,1,1,1,1,1,1
NDUFA4,0,1,1,1,1,1,1,1
GPSM2,0,0,0,0,0,0,0,1
TOLLIP,1,1,1,1,1,0,0,0
VPS35,1,0,1,0,0,0,0,0
MYCBP2-AS1,0,0,0,0,0,0,0,1
ENY2,0,0,0,0,0,0,0,1
UQCR10,0,0,0,0,1,0,1,1
CELF2-AS2,0,0,0,0,0,0,0,1
ARL6IP1,0,0,0,0,1,1,1,0
CA11,1,0,1,0,0,0,0,0
NDUFS2,0,0,0,0,1,0,0,0
RPL11,0,0,0,0,1,1,1,1
KLHL28,0,0,0,0,0,0,0,1
CHN1,1,1,1,0,0,1,0,0
RPSA,0,0,0,0,1,0,1,1
PSMA3,0,0,0,0,0,0,0,1
GNG3,0,1,0,0,0,0,0,0
GDI1,1,0,1,1,1,0,0,0
CHCHD2,0,0,0,0,1,0,1,1
CCT8,0,0,0,0,1,0,0,0
UBE3A,0,0,0,0,0,1,0,1
LY6H,1,0,1,0,0,1,0,0
TMSB10,1,1,0,1,1,1,1,1
ITM2B,1,1,1,0,1,0,0,1
STMN4,1,1,0,1,1,0,0,0
HSPA8,0,0,0,0,1,0,1,1
RAN,0,0,0,0,1,0,0,0
RPL4,0,0,0,1,1,1,0,1
PPA1,0,0,0,0,1,0,0,1
SRSF11,0,0,0,0,0,0,0,1
SLC7A14-AS1,0,0,0,0,0,0,0,1
MT-ND1,1,0,0,1,0,0,0,0
MAP1LC3B,0,0,0,0,1,0,0,0
SAT2,0,0,1,0,0,0,0,0
APP,0,1,0,0,0,0,0,0
SYT11,0,1,1,0,1,0,0,0
RPL13A,0,0,0,1,1,1,1,1
BCL2L14,0,0,0,0,0,0,0,1
MEF2C-AS2,0,0,0,0,0,0,0,1
TAGLN3,1,1,1,1,1,0,0,0
MAP1LC3A,1,1,0,0,1,0,0,0
