,BA9_CT,BA9_AD,ROSMAP_CT,ROSMAP_hAD,SEAAD_lAD,SEAAD_hAD,SEAAD_DL_lAD,SEAAD_DL_hAD
RPL24,0,0,0,0,1,1,1,1
TMEM30A,1,0,0,1,1,0,0,0
GABARAPL1,1,1,0,1,1,0,0,0
RPL6,0,0,0,0,1,1,1,1
FAM227B,0,0,0,0,0,0,0,1
HNRNPDL,0,0,0,0,1,0,0,1
LRTM1,0,0,0,0,0,0,0,1
TMEM130,0,0,1,0,0,0,0,0
ABHD15-AS1,0,0,0,0,0,0,0,1
RPL39,0,0,0,0,1,0,1,1
MDM4,0,0,1,0,0,0,0,0
RPS3A,0,0,0,0,1,1,1,1
PTMA,1,1,1,1,1,1,1,0
SYNGR1,1,0,1,0,0,0,0,0
FKBP8,1,1,1,1,1,0,0,0
BEX3,1,1,1,1,1,1,1,1
TSPYL4,1,0,0,0,0,0,0,0
GPC1,0,0,1,0,0,0,0,0
RPL27,0,0,0,0,1,1,0,0
FTH1,1,1,0,1,1,1,1,1
ACTB,1,1,1,1,1,1,1,1
RNF187,0,1,0,0,1,0,0,0
RBM4B,0,0,0,0,0,0,0,1
MT-CO1,1,0,0,1,0,0,0,0
MTCH1,1,1,1,1,1,1,1,1
KIF1A,1,1,1,0,0,0,0,0
YWHAB,1,1,1,1,1,1,1,1
CBX6,1,0,1,0,0,0,0,0
RPL18A,0,0,0,0,0,0,1,1
STMN3,1,0,1,1,1,0,0,0
PAFAH1B2,1,0,0,0,0,0,0,0
MT-ND2,1,0,0,1,0,0,0,0
ACTG1,1,1,1,1,1,0,1,1
HSPE1,0,0,0,0,1,0,0,0
SLC26A3,0,0,0,1,0,0,0,0
GABRG3-AS1,0,0,0,0,0,0,0,1
ATP5IF1,1,1,0,0,1,1,1,1
GABRA1,1,1,0,0,0,0,0,0
MOAP1,0,0,0,0,1,0,0,0
PDXP,0,0,0,0,1,0,0,0
TMBIM6,0,0,1,0,0,0,0,0
MARCKS,1,1,0,0,0,0,0,0
RPL7,0,0,0,0,1,1,1,1
MT-CO2,1,0,0,1,0,0,0,0
DYNLL1,1,1,1,1,1,1,1,1
EIF4G2,0,0,0,1,1,0,0,0
USP22,1,0,1,0,1,0,0,0
NCDN,1,0,1,0,0,0,1,0
PPP2CB,0,1,1,0,0,0,0,0
CCNI,1,0,1,0,1,0,1,1
PCBP1,0,0,0,0,1,0,0,0
DCTN1,0,0,0,0,1,0,0,0
SLC25A4,0,0,0,0,1,0,0,0
RPS15A,0,0,0,0,1,0,0,1
IFNGR2,0,0,0,0,0,0,0,1
RAB14,0,0,0,0,1,0,0,0
CTBP1,1,0,0,0,0,0,0,0
MRFAP1,0,0,0,0,1,0,0,0
RPL30,0,0,0,0,1,1,1,1
RPS7,0,0,0,0,1,1,1,1
RPL34,0,1,0,0,1,1,1,1
COX7C,0,1,0,0,1,1,1,1
PLCG2,0,0,0,0,0,1,0,1
PRDX1,0,0,0,0,1,0,0,0
CANX,0,1,1,0,0,0,0,0
EIF1B-AS1,0,0,0,0,0,0,0,1
PITHD1,0,0,0,0,1,0,0,0
SULT4A1,1,1,1,1,1,0,0,0
RPL18,0,1,0,0,1,1,1,1
ATP6AP2,1,1,0,0,1,0,0,0
ANGPT2,0,0,0,0,0,0,0,1
MT3,0,0,0,0,1,0,1,0
ATP5MPL,0,0,0,0,1,1,1,1
RPL31,0,0,0,1,0,0,0,0
IDS,1,1,1,0,1,1,1,0
TOMM7,0,0,0,0,1,0,0,1
FAM217B,1,0,1,0,1,0,0,0
ZRANB2-AS2,0,0,0,0,0,0,0,1
SNAP25-AS1,0,0,0,0,0,1,0,1
DPYSL2,0,1,0,1,0,0,0,0
OLFM1,1,0,1,0,0,1,1,0
ATP6V1B2,1,1,1,1,1,0,0,0
TCHP,0,0,0,0,0,0,0,1
NDUFA5,0,0,0,0,1,0,0,1
DDX5,0,0,0,0,1,1,0,1
MAK,0,0,0,0,0,1,0,1
AES,0,0,1,0,0,0,0,0
FAU,0,0,0,0,0,0,1,1
ATP6V1A,0,0,1,0,0,0,0,0
PNMA8B,0,0,0,0,1,0,0,0
SCAMP1,0,0,1,0,0,0,0,0
RP11-115D19.1,0,1,0,0,0,0,0,0
MLLT11,1,1,0,1,1,0,0,0
RIMS3,0,0,1,0,0,0,0,0
APOO,1,0,1,1,0,0,0,0
ATP5MJ,1,1,0,0,0,0,0,0
TGOLN2,0,0,0,0,1,0,0,0
PGRMC1,1,1,0,1,1,0,0,0
COX7A2,0,0,0,0,1,0,0,0
CCDC85B,0,1,0,0,0,0,1,1
NDFIP1,1,1,1,1,0,1,0,1
FBXO44,1,0,0,0,0,0,0,0
RPL5,0,0,0,0,1,1,1,1
TDG,0,0,0,0,0,0,0,1
